name,price,Performance_1_to_10,Weight_Proxy,Battery_Proxy,processor,ram,storage,graphics_card,img
Lenovo V15 G4 â82C70081GE Laptop,33890,2.56198347107438,1.8819639980617473,8.0,7th Gen AMD Ryzen 5 7520U,16 GB DDR5 RAM,512 GB  ,Integrated AMD Radeon 610M Graphics,https://cdn1.smartprix.com/rx-iRe7ozJWD-w280-h280/lenovo-v15-g4-82c700.webp
Dell G15-5530 Gaming Laptop,66800,6.890909090909091,2.739189979910061,4.0,13th Gen Intel Core i5 13450HX,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ivl17P4n6-w280-h280/dell-g15-5530-gaming.webp
Acer One 14 Z8-415 Laptop,22990,1.4958677685950414,1.7741923946292413,5.5,11th Gen Intel Core i3 1115G4,8 GB DDR4 RAM,512 GB  ,âIntel Iris Xe Graphics,https://cdn1.smartprix.com/rx-ioXEIfxVI-w280-h280/acer-one-14-z8-415-l.webp
HP Victus 15-fb3012AX Gaming Laptop,66240,3.2462809917355373,2.58266428520358,4.0,8th Gen AMD Ryzen 5 8645HS,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ifsyyr3XR-w280-h280/hp-victus-15-fb3012a.webp
HP 245 G10 Laptop,29690,2.7107438016528924,1.8092139638320166,8.0,7th Gen AMD Ryzen 5 7520U,8 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-iAwh1cD03-w280-h280/hp-245-g10-laptop-am.webp
Apple MacBook Air 2025 Laptop,91900,1.4462809917355373,1.2865210824821973,9.5,Apple M4,16 GB RAM,256 GB  ,Apple 8 Core GPU,https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp
Lenovo ThinkBook 16 21MWA0BSIN Laptop,49000,2.7107438016528924,1.641247800797398,5.5,7th Gen AMD Ryzen 5 7535HS,16 GB DDR5 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-i0iMdi6rS-w280-h280/lenovo-thinkbook-16.webp
Asus Expertbook P1 14 P1403CVA-S60938WS Laptop,34990,1.3471074380165289,1.6452608125432682,8.0,13th Gen Intel Core i3 1315U,16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-igmHFinXw-w280-h280/asus-expertbook-p1-1.webp
HP 15-fr0028TU Laptop,59990,6.206611570247934,1.8912823594304344,5.5,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,Intel Integrated Integrated,https://cdn1.smartprix.com/rx-iMrQ6IzGa-w280-h280/hp-15-fr0028tu-lapto.webp
Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop,67990,5.829752066115702,2.594736360128131,4.0,12th Gen Intel Core i7 12650HX,12 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-ijeIXnCa4-w280-h280/lenovo-loq-15iax9-83.webp
Asus Vivobook 16X K3605ZF-RP458WS Laptop,59990,4.966942148760331,2.7893061496424374,4.0,12th Gen Intel Core i5 12500H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 2050,https://cdn1.smartprix.com/rx-ijkZTE1SZ-w280-h280/asus-vivobook-16x-k3.webp
Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop,38990,1.4958677685950414,1.8921201587585088,8.0,13th Gen Intel Core i3 1315U,8 GB LPDDR4x RAM,512 GB  ,Intel Graphics,https://cdn1.smartprix.com/rx-ixDx75GrN-w280-h280/samsung-galaxy-book.webp
